1571096636,1, 0, 60
1571096637,2, 0, 60
1571096637,3, 0, 60
1571096638,4, 0, 60
1571096638,5, 0, 60
1571096639,6, 0, 60
1571096639,7, 0, 60
1571096640,8, 0, 60
1571096640,9, 0, 60
1571096641,10, 0, 60
1571096641,11, 0, 60
1571096642,12, 0, 61
1571096642,13, 0, 60
1571096643,14, 0, 60
1571096643,15, 0, 60
1571096644,16, 0, 60
1571096644,17, 0, 60
1571096645,18, 0, 60
1571096645,19, 0, 60
1571096646,20, 0, 60
1571096646,21, 0, 61
1571096647,22, 0, 60
1571096647,23, 0, 60
1571096648,24, 0, 60
1571096648,25, 0, 60
1571096649,26, 0, 61
1571096649,27, 0, 60
1571096650,28, 0, 60
1571096650,29, 0, 60
1571096651,30, 0, 60
1571096651,31, 0, 60
1571096652,32, 0, 60
1571096652,33, 0, 60
1571096653,34, 0, 60
1571096653,35, 0, 61
1571096654,36, 0, 60
1571096654,37, 0, 60
1571096655,38, 0, 60
1571096655,39, 0, 60
1571096656,40, 0, 60
1571096656,41, 0, 60
1571096657,42, 0, 60
1571096657,43, 0, 60
1571096658,44, 0, 61
1571096658,45, 0, 60
1571096659,46, 0, 60
1571096659,47, 0, 60
1571096660,48, 0, 60
1571096660,49, 0, 72
1571096661,50, 0, 140
1571096661,51, 1, 96
1571096662,52, 0, 96
1571096662,53, 0, 93
1571096663,54, 0, 129
1571096663,55, 0, 164
1571096664,56, 0, 142
1571096664,57, 1, 186
1571096665,58, 0, 174
1571096665,59, 4, 195
1571096666,60, 3, 129
1571096666,61, 82, 137
1571096667,62, 104, 195
1571096667,63, 53, 243
1571096668,64, 182, 200
1571096668,65, 134, 232
1571096669,66, 123, 257
1571096669,67, 140, 265
1571096670,68, 92, 223
1571096670,69, 189, 259
1571096671,70, 147, 212
1571096671,71, 186, 226
1571096672,72, 252, 304
1571096672,73, 155, 263
1571096673,74, 182, 306
1571096673,75, 230, 313
1571096674,76, 179, 343
1571096674,77, 196, 382
1571096675,78, 145, 372
1571096675,79, 119, 367
1571096676,80, 126, 387
1571096676,81, 171, 498
1571096677,82, 161, 414
1571096677,83, 141, 445
1571096678,84, 152, 451
1571096679,85, 232, 625
1571096679,86, 284, 719
1571096680,87, 283, 795
1571096680,88, 232, 619
1571096681,89, 209, 598
1571096681,90, 217, 552
1571096682,91, 242, 619
1571096682,92, 249, 641
1571096683,93, 272, 564
1571096683,94, 307, 683
1571096684,95, 213, 617
1571096684,96, 238, 651
1571096685,97, 322, 690
1571096685,98, 230, 680
1571096686,99, 335, 736
1571096686,100, 373, 974
1571096687,101, 302, 736
1571096687,102, 315, 751
1571096688,103, 339, 899
1571096688,104, 272, 760
1571096689,105, 307, 901
1571096689,106, 423, 943
1571096690,107, 356, 958
1571096690,108, 502, 1014
1571096691,109, 411, 953
1571096691,110, 333, 895
1571096692,111, 459, 1001
1571096692,112, 427, 1154
1571096693,113, 490, 1127
1571096693,114, 448, 1259
1571096694,115, 396, 1242
1571096694,116, 470, 1076
1571096695,117, 511, 1188
1571096695,118, 408, 1143
1571096696,119, 510, 1154
1571096696,120, 386, 1099
1571096697,121, 484, 1268
1571096697,122, 496, 1192
1571096698,123, 446, 991
1571096698,124, 395, 1022
1571096699,125, 594, 1261
1571096699,126, 819, 1863
1571096700,127, 719, 1861
1571096700,128, 939, 1844
1571096701,129, 944, 1994
1571096701,130, 963, 2043
1571096702,131, 1067, 2233
1571096702,132, 1119, 2412
1571096703,133, 1063, 2524
1571096703,134, 1148, 2724
1571096704,135, 1316, 2872
1571096704,136, 1171, 2993
1571096705,137, 1413, 3178
1571096705,138, 1558, 3297
1571096706,139, 1466, 3201
1571096706,140, 1147, 2729
1571096707,141, 1178, 2738
1571096707,142, 1144, 2728
1571096708,143, 1172, 2801
1571096708,144, 1221, 2892
1571096709,145, 1176, 2672
1571096709,146, 755, 1972
1571096710,147, 697, 1889
1571096710,148, 752, 1926
1571096711,149, 841, 2173
1571096711,150, 753, 1865
1571096712,151, 776, 1834
1571096712,152, 849, 1966
1571096713,153, 904, 2320
1571096713,154, 994, 2281
1571096714,155, 1012, 2475
